Nombre,Deporte,Zona,PrecioPorHora,ImagenUrl,NombrePadre,Ubicacion
Núñez Blanca - Fútbol 11,Fútbol 11,Zaidín,50.0,https://images.unsplash.com/photo-1574629810360-7efbbe195018?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppZaidin
Núñez Blanca - Fútbol 7 (Pista A),Fútbol 7,Zaidín,30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Núñez Blanca - Fútbol 11,https://maps.app.goo.gl/PachangAppZaidin
Núñez Blanca - Fútbol 7 (Pista B),Fútbol 7,Zaidín,30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Núñez Blanca - Fútbol 11,https://maps.app.goo.gl/PachangAppZaidin
Núñez Blanca - Fútbol Sala,Fútbol Sala,Zaidín,25.0,https://images.unsplash.com/photo-1544698310-74ea0d0d5b98?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppZaidin
Complejo Chana - Fútbol 11,Fútbol 11,La Chana,45.0,https://images.unsplash.com/photo-1574629810360-7efbbe195018?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppChana
Complejo Chana - Fútbol 7 (Pista A),Fútbol 7,La Chana,30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Complejo Chana - Fútbol 11,https://maps.app.goo.gl/PachangAppChana
Complejo Chana - Fútbol 7 (Pista B),Fútbol 7,La Chana,30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Complejo Chana - Fútbol 11,https://maps.app.goo.gl/PachangAppChana
Bola de Oro - Fútbol 11,Fútbol 11,Carretera de la Sierra,45.0,https://images.unsplash.com/photo-1574629810360-7efbbe195018?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppSierra
Bola de Oro - Fútbol 7 (Pista A),Fútbol 7,Carretera de la Sierra,30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Bola de Oro - Fútbol 11,https://maps.app.goo.gl/PachangAppSierra
Bola de Oro - Fútbol 7 (Pista B),Fútbol 7,Carretera de la Sierra,30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Bola de Oro - Fútbol 11,https://maps.app.goo.gl/PachangAppSierra
Paquillo Fernández - Fútbol Sala,Fútbol Sala,Camino de Ronda,25.0,https://images.unsplash.com/photo-1544698310-74ea0d0d5b98?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppRonda
Paquillo Fernández - Fútbol 7,Fútbol 7,Camino de Ronda,30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppRonda
Diputación Armilla - Fútbol 11,Fútbol 11,Armilla,55.0,https://images.unsplash.com/photo-1574629810360-7efbbe195018?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppArmilla
